
Member;name	Description
AnsiString;A variable-length stream of non-Unicode characters ranging between 1 and 8,000 characters.
Binary;A variable-length stream of binary data ranging between 1 and 8,000 bytes.
Byte;An 8-bit unsigned integer ranging in value from 0 to 255.
Boolean;A simple type representing Boolean values of true or false.
Currency;A currency value ranging from -2 63 (or -922,337,203,685,477.5808) to 2 63 -1 (or +922,337,203,685,477.5807) with an accuracy to a ten-thousandth of a currency unit.
Date;A type representing a date value.
DateTime;A type representing a date and time value.
Decimal;A simple type representing values ranging from 1.0 x 10 -28 to approximately 7.9 x 10 28 with 28-29 significant digits.
Double;A floating point type representing values ranging from approximately 5.0 x 10 -324 to 1.7 x 10 308with a precision of 15-16 digits.
Guid;A globally unique identifier (or GUID).
Int16;An integral type representing signed 16-bit integers with values between -32768 and 32767.
Int32;An integral type representing signed 32-bit integers with values between -2147483648 and 2147483647.
Int64;An integral type representing signed 64-bit integers with values between -9223372036854775808 and 9223372036854775807.
Object;A general type representing any reference or value type not explicitly represented by anotherDbType value.
SByte;An integral type representing signed 8-bit integers with values between -128 and 127.
Single;A floating point type representing values ranging from approximately 1.5 x 10 -45 to 3.4 x 10 38with a precision of 7 digits.
String;A type representing Unicode character strings.
Time;A type representing a SQL Server DateTime value. If you want to use a SQL Server time value, useTime.
UInt16;An integral type representing unsigned 16-bit integers with values between 0 and 65535.
UInt32;An integral type representing unsigned 32-bit integers with values between 0 and 4294967295.
UInt64;An integral type representing unsigned 64-bit integers with values between 0 and 18446744073709551615.
VarNumeric;A variable-length numeric value.
AnsiStringFixedLength;A fixed-length stream of non-Unicode characters.
StringFixedLength;A fixed-length string of Unicode characters.
Xml;A parsed representation of an XML document or fragment.
DateTime2;Date and time data. Date value range is from January 1,1 AD through December 31, 9999 AD. Time value range is 00:00:00 through 23:59:59.9999999 with an accuracy of 100 nanoseconds.
DateTimeOffset;Date and time data with time zone awareness. Date value range is from January 1,1 AD through December 31, 9999 AD. Time value range is 00:00:00 through 23:59:59.9999999 with an accuracy of 100 nanoseconds. Time zone value range is -14:00 through +14:00.
